Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44555331,3.479272087,3.379266614,3.372117751,3.357585878,3.438697038,3.650534399,3.757477042,3.940913851,4.054401864,4.16361335,4.223578036,4.340954725,4.619916747,4.654108765,4.716473225,4.91995797,5.111197815,5.142280573,5.365888282,5.435556334,5.258909938,5.359627712,5.343683967,5.34089381,5.450239602,5.526478512,5.488427222,5.550826185,5.525581597,5.121730122,,
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.43718277,15.31527127,15.35397358,15.48170527,15.7309148,16.11460158,16.47101442,16.70617608,17.60233354,17.73724311,17.8373184,17.93072692,18.12321078,17.89453913,18.36887105,18.27847309,18.29274959,18.45473766,18.23928987,18.15720084,17.97375152,17.65605534,17.40561767,16.7945881,16.15574514,16.19845822,16.32033061,16.14809051,15.86356243,15.59572675,14.7726576,,
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.590106605,8.049526421,7.35494711,7.311748471,7.344674059,7.698069947,8.15463769,8.06021204,8.107660865,7.889457434,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45396644,7.159572566,8.617281108,6.411378556,4.41191067,4.225833946,3.502937009,3.37952987,3.347718944,3.272330964,3.440001988,3.25441365,3.203348038,3.469644527,3.408403058,3.580068757,3.593402125,3.219523848,3.474404911,2.849570533,2.685112496,2.97414762,3.239167347,3.285574369,3.381555622,3.292794814,3.303957895,3.243037648,3.292641249,3.54349533,3.398849573,,
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034209898,0.041037901,0.035033436,0.03791029,0.037698643,0.036559571,0.037652767,0.038184549,0.038523099,0.037830613,0.041631927,0.032509869,0.032802231,0.024953191,0.022414169,0.021789518,0.025018967,0.024179919,0.024003066,0.022745628,0.035423906,0.037998112,0.037180418,0.036100027,0.034759697,0.034193618,0.040538085,0.047429124,0.05785023,0.059571339,0.058384022,,
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96703557,11.39090004,11.18243237,10.91859517,11.35882853,11.30224288,11.7606251,11.45583865,11.70368582,11.29569403,11.44002926,11.50430124,10.72800799,11.13151691,10.87700891,10.58920275,10.24667523,9.778725166,9.964114755,9.253412196,9.808816157,8.741247718,8.578030369,8.651947187,8.061552368,8.434836506,8.310660392,8.139438591,8.184366679,8.093790746,7.398130658,,
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06430607,0.05167346,0.051781146,0.050347159,0.047327596,0.049957736,0.156916823,0.193601842,0.184487582,0.197463714,0.20355749,0.240583768,0.292971417,0.318988595,0.33521843,0.355804506,0.413132506,0.462339327,0.451087855,0.481569175,0.510824491,0.478348574,0.443845155,0.453634929,0.488570534,0.503586324,0.598485713,0.592940505,0.636814494,0.608236773,0.631204806,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065061495,0.06402519,0.063634578,0.063373501,0.062014084,0.061789216,0.068250228,0.07596799,0.078503263,0.08092822,0.088272312,0.083612223,0.081317933,0.08460706,0.084325594,0.082969117,0.097824555,0.114034801,0.125648814,0.1233289,0.129944788,0.132533051,0.157359014,0.167097518,0.164943647,0.2031091,0.207403202,0.23317368,0.25242828,0.269501589,0.253533189,,
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107550001,0.099143894,0.106257362,0.110814122,0.117142782,0.140538338,0.140354851,0.1554492,0.154800379,0.158617237,0.160122047,0.194686761,0.203401188,0.209737198,0.219955044,0.232135397,0.251721898,0.263586595,0.285933318,0.305030148,0.340233253,0.361557397,0.387829235,0.408788179,0.425189457,0.463517075,0.507739271,0.541787826,0.586157625,0.559733656,0.510647559,,
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.442677227,6.814643075,6.482791197,6.600936486,6.362695682,6.528951054,6.612800505,6.375621566,6.113456253,5.398128084,5.314588236,5.766610206,5.563226275,6.164795384,6.124991253,6.265279466,6.440554967,6.971019721,6.678530879,5.763735447,6.049624919,6.754951603,6.162577362,5.45906018,5.821533906,6.207377524,5.834418985,6.20201084,5.821777166,5.613710103,4.923280379,,
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75200322,19.32431852,22.13329847,22.77316973,22.54014301,22.08374801,22.37036077,22.08830862,23.03239928,22.32357076,22.31594424,22.4391139,23.01340061,23.05682192,21.50972283,22.94402725,23.15740473,22.10503858,22.30139696,20.95640945,21.39480655,21.46530295,22.18412509,22.86884161,23.09657136,22.38562499,21.49530987,20.94603778,20.73796173,22.06335481,21.97690781,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.442764308,7.55384738,6.924421842,6.333546175,6.291220659,6.423549677,6.213496079,5.466984341,6.597061491,6.642478893,6.508335026,6.172146615,6.193974886,6.251292505,6.105412881,5.622707042,5.406279064,5.400848837,5.460935239,5.457035187,5.302835466,5.775896283,6.266800328,7.274471671,6.473141436,5.62112774,5.153595167,5.438825122,6.95535772,6.482893634,6.042251477,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332431452,4.762141673,3.734255905,3.399455894,0.840614725,0.898399078,1.071723864,2.098203742,2.614956432,2.53216098,3.339059902,3.281030539,3.467026803,3.554556347,3.758683615,3.962926969,4.413459941,4.712845407,5.264807557,5.309702792,5.468910715,6.341784522,5.976582678,6.039376276,5.46245549,5.569578733,6.422490639,6.59666334,6.651453518,6.285663956,6.312305874,,
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.797486552,9.438623511,8.588935317,7.443014733,6.321099487,5.641431568,5.75355116,5.833544932,5.67931991,5.481134542,5.30757214,5.209240545,5.245821114,5.361564331,5.729965409,5.842828709,6.121245728,5.995939944,6.321556971,6.015761028,6.478781371,6.164447338,6.323630473,6.342249474,6.290067804,5.799689169,5.829463579,5.946407169,6.279579416,6.12342695,5.842407296,,
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.863748638,2.36831097,2.009994798,2.089330868,2.029574228,1.990607007,1.575486085,1.929835066,1.776734384,1.608710411,1.768674659,1.940346634,1.756729834,1.705315949,1.505174036,1.552563531,1.597345608,1.654255265,1.475115402,1.693345344,1.649146554,1.740011774,1.380470481,1.326997168,1.372841188,1.875949993,1.773147152,1.716338442,1.648929766,1.89208291,1.741107715,,
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.466687636,1.500077779,1.511099114,1.359999332,1.243221421,1.101132683,1.042785993,1.128868284,1.053297434,0.981769042,0.943608123,0.893302648,0.936961096,0.980272657,1.018024736,1.053918213,1.122841706,1.226167606,1.288809285,1.350111632,1.438111289,1.538218699,1.604681761,1.686987922,1.7842194,1.803674183,1.893693651,1.891315429,1.88518817,1.853461506,1.539464696,,
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.313131623,1.340029763,1.333318452,1.358610901,1.382139692,1.475603559,1.5804544,1.669181232,1.698944884,1.734769448,1.783500116,1.792112278,1.760651244,1.701852536,1.778441244,1.775662922,1.777477957,1.847975736,1.939215274,1.799328142,2.026605669,2.11062776,2.271417684,2.413446537,2.51459196,2.365360621,2.161259847,2.185486619,2.064261479,2.050770129,1.942523356,,
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.879660676,3.855136044,3.557676049,3.35960459,3.551919667,3.608803559,3.730959348,4.05935629,4.313045721,4.57546277,4.489206785,4.585175053,4.52721848,4.672540832,4.767881417,4.921013667,4.98326708,5.036029531,5.938342473,5.842777885,5.392940217,5.503909455,5.313671039,5.199176494,4.620188617,4.565435499,4.632243432,4.226450372,4.541381825,4.166143194,3.904871158,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44731377,12.54168828,12.92427257,13.79670054,14.60975902,15.38196639,15.76506551,16.68247051,14.11173443,13.5547096,14.12857939,13.81900994,13.29666756,15.57852815,14.15687134,13.61076798,20.17338684,18.86003358,20.57503484,20.17442501,18.10565758,18.26298984,17.95103213,17.5097522,16.99315502,15.18067944,16.35821162,16.9430784,17.36231043,16.11193294,21.70581244,,
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331977179,0.321995385,0.375697874,0.339932954,0.395004412,0.466375754,0.551745694,0.697009317,0.677420339,0.662936304,0.662185567,0.628794133,0.664762668,0.595200015,0.482329755,0.596119839,0.590410837,0.58494984,0.6127263,0.568786747,0.699034466,1.043274441,1.156355518,1.245731517,1.374876588,1.402040163,1.638388767,1.731865667,1.908289769,1.867200723,1.340054317,,
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.092772577,1.980828403,2.321610198,2.222378753,2.048559936,2.066422481,1.842976319,1.893347594,2.223954958,2.281033225,2.335746981,2.193957762,2.243124453,2.14301784,2.13562048,2.260452333,2.118987673,2.196161928,2.188340673,2.043233836,1.611970183,1.819713997,1.569502511,2.445132726,3.091924529,3.014835776,2.818086597,3.054954535,3.288471038,2.879663256,2.263463114,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052683644,0.048998431,0.050639647,0.051017336,0.050410246,0.049989227,0.049649628,0.04828722,0.063965093,0.064781581,0.064695132,0.065803625,0.063551862,0.057365066,0.05496778,0.053245151,0.054560036,0.054347217,0.03836827,0.036849277,0.03751019,0.041039539,0.041313086,0.025112297,0.027173834,0.038262556,0.042086572,0.044509011,0.044967594,0.045188205,0.044282073,,
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14896932,14.74096404,15.02813904,14.71330913,15.06050396,15.29046634,15.59261401,15.94384836,16.07657167,16.25847341,16.75746674,16.33143678,16.72041069,17.20835919,16.79418597,17.0275681,16.59521392,17.38063077,16.55942629,15.50450587,15.79453766,15.99827172,15.73682394,15.84080976,15.85217722,15.64990728,15.42182253,15.54719472,15.63665416,15.05274694,13.59937492,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.950861493,8.29458243,7.725796628,7.508530203,7.321380019,7.365826913,7.618700144,7.398845788,6.959339551,6.582621859,6.55222801,6.711431589,6.61650942,6.90483331,6.91328164,6.931863007,7.122723159,7.201061072,7.050764985,6.534136415,6.78421838,6.810707482,6.564899335,6.323538121,6.139709757,6.244133257,6.376605698,6.658387976,6.616508182,6.285364214,5.85720585,,
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.451697925,6.71572761,6.647298965,6.262660766,6.090112736,6.16976724,6.222699859,6.030309895,6.22324807,6.232944582,6.083975363,6.245589468,5.981438218,6.109755265,6.12803762,6.165119136,6.076924249,5.766193267,5.879237808,5.639146825,5.77742182,5.206044994,5.316661125,5.381300293,4.85956841,4.719745349,4.737238602,4.57876628,4.402143727,4.358609865,4.042072815,,
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.288383577,2.15628363,2.201875348,2.319203085,2.521118984,2.703235865,3.071831427,3.463042689,3.468333322,3.586506954,3.284598763,3.119374428,3.129989633,3.165410522,3.431902652,3.460143672,3.498597301,3.91463437,4.080770343,3.888128201,4.101883998,4.452800824,4.521602782,4.740083124,4.328593459,4.603236105,4.783525703,4.743802419,4.629657059,4.827620075,4.395151064,,
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.914546263,2.000543284,2.075740405,2.244842079,2.322189229,2.563478759,2.521871874,2.547903664,2.605835732,2.517420763,2.650409102,2.774762197,2.964821228,3.434036479,3.945154871,4.467696361,4.910276197,5.306368006,5.435079096,5.798319938,6.335419767,6.901347326,7.04520023,7.320154925,7.304712872,7.145131535,7.105479936,7.226160154,7.533193134,7.645435786,7.756137907,,
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227143354,0.225680273,0.215923991,0.222078741,0.224136801,0.235326171,0.273689473,0.324255175,0.314629116,0.417927585,0.386281397,0.376580096,0.386730368,0.292971289,0.294749452,0.309775087,0.293837437,0.285492262,0.319825943,0.291675666,0.30069069,0.283741799,0.365172194,0.386857284,0.399942511,0.415553148,0.3962026,0.425136558,0.399890358,0.414528305,0.406347357,,
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253706743,0.591472763,0.564516741,0.461840701,0.359510438,0.354195052,0.350297348,0.348779634,0.352123032,0.325764256,0.34516566,0.332841657,0.322564368,0.318325561,0.304746027,0.290376286,0.286834797,0.335938254,0.340494883,0.364009538,0.352871883,0.332610017,0.326477591,0.347933814,0.368742288,0.369370823,0.378493592,0.372071195,0.388794448,0.370691707,0.374782658,,
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088336127,0.046724258,0.038672867,0.04790676,0.053194999,0.048767504,0.051482467,0.05064388,0.049585228,0.044425211,0.033629244,0.031242156,0.031942196,0.037563688,0.035385908,0.039057301,0.039101341,0.041015487,0.041017049,0.038941823,0.039973637,0.043943371,0.039822321,0.053900066,0.067548633,0.041082217,0.02973242,0.033755215,0.032311235,0.03371488,0.032584781,,
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.341956499,1.302015147,1.240865576,1.037130209,0.76977544,0.960799822,1.124776548,1.136062945,1.319537268,1.313307205,1.387027565,1.304046801,0.827099765,0.941672047,0.99195261,1.174358582,1.252964934,1.049134185,1.066262683,1.136551232,1.222057629,1.174458184,1.116160226,1.100152732,1.046561268,1.116621047,1.059916434,1.017762417,1.142589443,1.257662142,1.25459167,,
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.514180698,1.535757861,1.567498714,1.636872274,1.629515478,1.669255808,1.617503089,1.738632787,1.714913821,1.449321036,1.504406398,1.495770043,1.418226358,1.381373481,1.359213785,1.37815501,1.36051066,1.378771938,1.376187818,1.414241941,1.431317954,1.539898376,1.533846498,1.680987882,1.715820964,1.719390231,1.753795803,1.565075176,1.610391517,1.577820141,1.552259423,,
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15193021,0.155332518,0.155191064,0.158206674,0.158191088,0.161236977,0.161039718,0.166919785,0.178696369,0.184065511,0.195432579,0.200459706,0.196226793,0.245031835,0.263613431,0.248024661,0.284623705,0.181229018,0.181263603,0.218523782,0.255783325,0.223856875,0.233875244,0.274809728,0.240550117,0.254582206,0.292000343,0.366303252,0.389920045,0.41239668,0.407112183,,
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504165261,0.455568642,0.478862251,0.441864561,0.437938031,0.490298555,0.52825725,0.534303641,0.563589527,0.657433828,0.667319875,0.769382648,0.828348101,0.872963138,0.8549415,0.916142987,1.039720657,0.911372944,0.932130988,0.99022958,1.037389776,1.074459595,0.984520402,0.929732933,0.909030977,0.905343683,0.972252567,1.034951518,1.041137811,1.069615098,1.065151723,,
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.909110195,0.945109208,1.248818837,1.227736647,1.390165863,1.346205948,1.238131914,1.201763589,1.312417554,1.290296122,1.243166642,1.337873919,1.339729585,1.384444959,1.397573363,1.453675687,1.497657013,1.712267448,1.669354038,1.577536632,1.537237693,1.587802884,1.572163789,1.623425478,1.616811387,1.539842157,1.619528412,1.636715779,1.620121197,1.564824452,1.35999555,,
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571798922,4.586458222,4.637008917,4.221735446,3.961673105,3.991283063,4.112810709,4.21052969,4.380485669,4.405468227,4.327652659,4.532194484,4.618133943,5.095243278,5.193510061,5.384373391,5.895629909,5.964900457,5.560212677,5.165555753,5.468179557,5.630149068,5.518165055,5.672398823,5.58212129,5.437586735,5.12342222,4.97194958,5.12587038,5.066604688,4.402687901,,
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.352091152,2.559126481,2.018945547,1.858908098,1.994946913,2.120996608,2.298944516,2.495715408,2.457231707,2.529201649,2.553001403,2.465642056,2.365566639,2.288427843,2.259611196,2.340177238,2.378215073,2.45588088,2.371909853,2.391133355,2.489722036,2.441544212,2.536932027,2.549971166,2.354133321,2.575844183,2.396082811,2.31478145,2.354698575,2.157740903,2.152769678,,
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.822701332,6.39375467,6.761463962,6.944185495,7.079095831,6.780934535,7.057830279,7.025185215,7.226729058,7.375590382,7.516791688,7.246976151,7.298456313,7.831359024,7.63612661,7.618445185,7.579223033,7.735644718,7.772590375,7.449409257,6.991677333,6.667272152,6.137878321,5.508034496,5.787450244,5.771090223,6.026642045,6.091071498,5.906151058,5.851879339,5.471998009,,
Czechia,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.82086892,13.55735971,13.26104941,12.67996501,12.11580258,12.05732057,12.4557148,12.22866829,11.63424912,10.92584885,12.16147575,12.17051065,11.78884871,12.10250385,12.13933254,11.93722667,11.96940493,12.08222916,11.43214623,10.84323956,10.89966881,10.59633837,10.2104838,9.787677169,9.497131068,9.592919971,9.747753525,9.773987068,9.66462802,9.156117906,8.304017496,,
